1,16
NaN,NaN
9,1000
1001,1409
NaN,NaN
1,13
NaN,NaN
101,1000
1001,1407
NaN,NaN
147,1000
1001,1406
NaN,NaN
1,15
NaN,NaN
1,18
42,83
NaN,NaN
3,83
NaN,NaN
1,18
34,69
NaN,NaN
1,68
NaN,NaN
1,12
33,68
NaN,NaN
1,67
NaN,NaN
3,153
NaN,NaN
2,13
28,110
122,153
NaN,NaN
4,255
NaN,NaN
1,11
69,255
NaN,NaN
1,10
36,89
NaN,NaN
1,88
NaN,NaN
1,20
32,61
NaN,NaN
2,61
NaN,NaN
1,13
46,99
NaN,NaN
2,100
NaN,NaN
1,27
NaN,NaN
249,965
1002,1411
NaN,NaN
1,15
57,315
355,590
645,769
NaN,NaN
6,857
NaN,NaN
1,14
66,159
217,282
NaN,NaN
4,282
NaN,NaN
36,82
1,16
NaN,NaN
2,82
NaN,NaN
2,84
NaN,NaN
1,14
36,84
NaN,NaN
2,15
608,636
42,294
430,477
536,586
317,358
NaN,NaN
477,633
411,465
331,394
1,329
NaN,NaN
1,15
36,93
NaN,NaN
2,93
NaN,NaN
1,65
70,95
NaN,NaN
41,95
2,12
NaN,NaN
1,526
NaN,NaN
1,12
59,422
455,528
NaN,NaN
1,19
399,515
51,148
181,306
NaN,NaN
1,13
46,140
167,252
277,357
908,975
668,811
424,595
1260,1357
NaN,NaN
57,143
239,331
NaN,NaN
295,367
162,268
41,140
NaN,NaN
300,364
73,116
4,13
NaN,NaN
1,22
197,323
52,156
NaN,NaN
1,18
204,279
54,169
NaN,NaN
49,133
1,18
254,279
202,238
NaN,NaN
910,1000
607,750
1,19
302,429
51,271
1001,1065
1095,1405
NaN,NaN
1,16
69,231
649,807
542,622
351,513
1329,1398
1002,1102
1144,1235
NaN,NaN
49,161
1,16
NaN,NaN
1,13
NaN,NaN
1,16
NaN,NaN
2,17
NaN,NaN
3,21
NaN,NaN
1,21
NaN,NaN
2,12
NaN,NaN
1,11
166,223
107,151
364,382
NaN,NaN
1,22
NaN,NaN
1,13
NaN,NaN
1,16
679,813
98,166
1001,1005
NaN,NaN
2,15
58,78
NaN,NaN
1,14
NaN,NaN
21,98
3,16
NaN,NaN
1,18
NaN,NaN
1,23
NaN,NaN
1,18
NaN,NaN
1,17
NaN,NaN
