2,49
NaN,NaN
2,290
333,657
741,824
879,944
NaN,NaN
2,290
333,657
741,824
879,944
NaN,NaN
2,56
97,144
165,229
242,306
335,396
414,476
628,703
1255,1507
1087,1143
1183,1241
715,885
907,975
993,1058
499,599
NaN,NaN
3,71
102,193
388,486
1454,1566
239,313
1317,1396
897,986
1013,1284
528,617
659,861
NaN,NaN
4,1798
NaN,NaN
1233,1643
118,1232
3,118
NaN,NaN
2,52
252,368
488,582
382,436
1324,1371
597,1241
1254,1305
1482,1535
NaN,NaN
3,44
1161,1217
1271,1352
83,243
1431,1529
347,500
999,1085
809,903
554,565
NaN,NaN
2,43
631,751
781,832
851,899
116,230
1010,1087
1148,1215
1409,1480
264,409
466,552
NaN,NaN
1,47
NaN,NaN
2,45
820,956
539,591
1147,1270
1373,1422
355,442
712,768
216,277
NaN,NaN
3,59
75,538
588,665
761,886
955,1008
1086,1408
1408,1441
1461,1554
1576,1670
NaN,NaN
2,41
198,305
116,153
NaN,NaN
3,475
500,609
636,729
1105,1150
1341,1429
868,909
1191,1309
981,1076
NaN,NaN
5,47
520,606
660,702
771,858
388,490
392,1035
234,364
1891,1957
1662,1690
1746,1799
84,186
1094,1130
NaN,NaN
2,414
636,677
558,608
498,551
441,489
811,846
693,741
752,795
888,987
1014,1357
1382,1547
NaN,NaN
4,1546
NaN,NaN
2,55
107,362
1288,1338
NaN,NaN
5,1563
NaN,NaN
3,37
824,860
1415,1452
404,427
1247,1285
1001,1019
1503,1536
1379,1395
148,158
1167,1178
825,860
NaN,NaN
2,462
491,558
579,659
1129,1178
1208,1245
1205,1246
957,985
NaN,NaN
2,39
71,110
154,240
1541,1578
341,394
612,662
476,578
421,460
1237,1308
1329,1374
694,730
1441,1472
924,953
NaN,NaN
2,1499
NaN,NaN
2,1535
NaN,NaN
2,1872
NaN,NaN
2,24
67,144
814,972
1136,1207
677,768
324,403
452,521
452,510
323,400
199,286
482,522
452,482
321,398
1009,1083
NaN,NaN
1,32
1388,1428
834,895
294,400
506,613
725,783
1243,1343
960,1067
1108,1204
616,684
415,496
204,293
71,203
895,960
NaN,NaN
370,449
1068,1114
1130,1180
1196,1264
113,246
246,350
722,786
786,813
813,869
886,936
465,544
545,632
1131,1185
1069,1113
954,994
2,33
1386,1412
NaN,NaN
976,1045
43,101
805,850
850,936
936,1337
1337,1359
1378,1446
205,264
264,278
126,170
493,525
685,795
310,380
NaN,NaN
1339,1424
798,817
746,797
501,553
596,682
301,356
381,469
495,500
873,954
995,1075
1106,1199
1229,1337
9,125
127,266
267,283
NaN,NaN
2,23
57,158
820,928
979,1034
1066,1165
1202,1235
1302,1407
158,265
304,397
542,598
599,654
656,713
423,495
856,902
NaN,NaN
5,35
193,265
265,329
329,379
61,100
447,476
1231,1291
1295,1319
1319,1347
506,573
1388,1425
193,261
261,308
310,367
369,379
917,966
803,875
1094,1140
917,958
800,848
501,572
607,649
692,720
NaN,NaN
1,61
NaN,NaN
11,1427
1427,1465
NaN,NaN
