22,54
59,74
78,90
100,112
NaN,NaN
38,101
151,179
130,137
185,251
NaN,NaN
24,102
NaN,NaN
28,51
83,93
103,143
NaN,NaN
30,111
NaN,NaN
2,38
235,248
250,263
267,299
NaN,NaN
1,56
510,533
540,574
582,614
621,648
NaN,NaN
1,13
58,80
97,145
NaN,NaN
9,63
76,192
NaN,NaN
1,69
NaN,NaN
1,35
37,99
NaN,NaN
54,101
117,142
145,159
309,320
371,441
NaN,NaN
6,64
137,183
NaN,NaN
39,53
71,112
118,134
137,191
211,256
NaN,NaN
52,109
116,143
151,176
185,195
214,285
328,395
NaN,NaN
11,57
139,162
165,193
NaN,NaN
1,28
33,50
54,71
NaN,NaN
1,42
76,103
114,128
139,183
194,228
234,271
NaN,NaN
88,117
124,140
145,158
161,194
239,271
289,297
NaN,NaN
1,87
97,127
425,486
501,526
NaN,NaN
230,252
86,105
134,154
173,198
286,296
300,312
317,342
NaN,NaN
29,88
94,146
161,250
284,320
325,350
408,426
NaN,NaN
47,66
72,124
147,175
191,248
491,551
392,448
376,387
277,333
616,648
NaN,NaN
3,729
NaN,NaN
1,726
NaN,NaN
2,714
NaN,NaN
1,632
646,723
NaN,NaN
2,683
NaN,NaN
5,695
NaN,NaN
73,234
237,346
378,517
NaN,NaN
1,87
99,185
221,314
361,769
NaN,NaN
1,13
20,331
703,729
439,547
NaN,NaN
1,733
NaN,NaN
3,724
NaN,NaN
1,16
27,35
71,128
240,308
330,403
441,551
562,587
599,610
NaN,NaN
40,78
97,238
272,325
398,444
458,672
693,754
784,843
NaN,NaN
8,38
53,141
195,323
361,403
463,497
NaN,NaN
4,41
62,154
174,218
255,312
346,360
NaN,NaN
2,53
83,139
149,195
216,267
301,349
699,745
516,575
437,505
590,675
NaN,NaN
99,133
1,43
51,67
NaN,NaN
34,80
96,154
189,214
233,262
275,315
364,396
446,483
519,600
NaN,NaN
1,50
134,166
NaN,NaN
29,105
142,182
NaN,NaN
55,109
213,249
NaN,NaN
28,118
271,317
347,423
432,455
473,525
553,577
NaN,NaN
