1,1645
NaN,NaN
2,735
NaN,NaN
2,35
63,137
718,1190
NaN,NaN
1,548
NaN,NaN
921,1556
NaN,NaN
1,550
552,812
NaN,NaN
1,1678
NaN,NaN
1,37
1395,1431
1115,1157
619,643
1276,1306
217,244
342,365
1051,1078
801,823
NaN,NaN
1,1535
NaN,NaN
1,41
747,795
352,393
218,257
509,526
945,980
981,1027
1048,1095
1275,1311
NaN,NaN
1,36
54,120
348,409
168,209
355,401
257,307
1072,1144
1427,1496
1311,1375
1185,1268
463,511
550,622
691,723
NaN,NaN
1,1169
1171,1202
1211,1269
1283,1339
1353,1408
1428,1478
1502,1550
NaN,NaN
1,605
606,1285
NaN,NaN
1,33
615,925
479,791
417,756
NaN,NaN
2,206
224,293
310,384
405,451
1421,1440
1507,1524
NaN,NaN
1,26
899,956
774,807
1041,1064
NaN,NaN
1,31
750,835
1017,1028
643,667
1469,1477
384,398
NaN,NaN
25,55
129,164
711,761
827,862
581,636
1391,1409
NaN,NaN
1,35
60,125
593,630
735,750
NaN,NaN
22,349
915,1039
1173,1567
NaN,NaN
1,33
221,276
432,487
351,385
545,587
985,1003
1014,1033
NaN,NaN
1,27
NaN,NaN
1,32
50,108
128,185
292,351
208,338
1229,1259
967,998
1054,1081
1141,1167
695,706
NaN,NaN
1,25
181,207
NaN,NaN
