-2.0332,0.62352,14.24,113.11,30
-4.925,0.18449,13.8,131.27,30
-4.3845,0.19072,14.76,118.78,30
-4.1466,0.20272,14,117.91,30
-4.1437,0.25888,14.04,111.88,30
-3.7728,0.28043,14,109.71,30
-9.9437,0.070437,14,145.04,30
-9.3227,0.093966,14.04,144.55,30
-9.0072,0.092038,14.36,144.26,30
-8.8222,0.04782,13.96,142.87,30
-8.4804,0.074126,14,137.91,30
0.84807,0.67914,14.04,112.88,30
1.4602,0.67588,14.08,113.09,30
1.2068,0.76772,14.04,110.98,30
1.536,0.71827,14,111.81,30
1.2853,0.77717,14.08,109.34,30
-0.53976,0.94956,10.56,107.97,30
0.35496,1.0361,6.56,104.12,30
-0.36344,1.0201,4.88,108.96,30
-0.76079,1.0308,6.52,108.79,30
-0.36345,1.0381,5.04,103.75,30
0.28327,0.95831,4.08,150.4,30
-0.50935,1.0742,4.84,149.88,30
-0.21339,1.0813,3.8,149.55,30
0.17522,1.0988,4.28,145.79,30
-0.28214,1.0592,4.72,151.09,30
1.5582,0.88535,10.52,151.5,30
1.3742,0.85437,14.24,150.78,30
0.84557,1.0334,3.96,144.14,30
0.51894,1.0226,5.2,150.76,30
1.1412,0.96709,7.84,152.17,30
-4.579,0.36968,13.84,162.88,30
-4.4333,0.25163,13.8,164.55,30
-4.4607,0.22925,13.68,167.01,30
-4.844,0.3071,13.88,162,30
-4.8209,0.20062,14.4,164.75,30
-1.3407,0.8201,9.68,106.32,30
-2.4199,0.42614,13.96,108.63,30
-2.2767,0.3832,14,102.7,30
-2.3221,0.41829,13.92,102.86,30
0.76993,0.92542,13.92,100.46,30
1.1699,0.87679,13.72,99.651,30
1.0163,0.72035,14.04,99.526,30
0.99912,0.96686,8.04,96.892,30
1.1216,0.77796,14.12,96.047,30
-0.39682,0.99418,5.24,135.66,30
0.15578,0.91648,3.96,135.79,30
0.60746,1.0071,3.48,141.23,30
-0.23446,1.1497,2.68,146.44,30
0.52518,1.1428,3.12,139.72,30
0.089339,1.1378,5.56,115.97,30
0.094262,0.99869,5.04,121.7,30
0.42901,1.0226,6.28,121.16,30
-0.53578,1.112,5.12,137.03,30
0.15142,0.94166,6,133.21,30
3.236,0.31451,13.88,179.81,30
3.6332,0.34258,13.88,185.04,30
3.9994,0.3392,14.08,179.28,30
4.0727,0.30779,13.8,179.22,30
3.6125,0.32335,13.6,189.26,30
