1,45
NaN,NaN
1,6
11,41
NaN,NaN
1,7
11,44
NaN,NaN
1,38
406,471
243,330
69,127
155,212
956,1000
782,842
867,925
602,684
509,588
685,760
1390,1422
1271,1341
1051,1095
NaN,NaN
1,60
110,161
869,925
NaN,NaN
1,37
NaN,NaN
1,30
NaN,NaN
1,39
NaN,NaN
1,39
NaN,NaN
1,36
NaN,NaN
1,36
NaN,NaN
1,37
97,143
NaN,NaN
1,33
NaN,NaN
2,36
NaN,NaN
1,37
NaN,NaN
1,38
358,417
125,172
203,285
609,632
524,541
639,666
493,515
951,1021
722,740
842,857
1339,1400
1113,1182
761,801
880,919
1401,1425
NaN,NaN
264,504
63,84
115,135
174,189
652,663
683,695
20,33
144,152
939,1400
852,870
735,745
795,806
1401,1607
1614,1626
1646,1663
NaN,NaN
1,34
NaN,NaN
1,41
NaN,NaN
1,39
271,368
93,178
490,614
716,806
1220,1367
NaN,NaN
1,44
82,181
217,269
487,519
368,400
297,315
1195,1222
1323,1341
784,823
1365,1400
1113,1167
1014,1058
760,772
984,1006
888,927
NaN,NaN
1,46
80,161
197,301
361,430
634,678
506,553
1380,1400
966,1017
705,807
846,934
1287,1348
1175,1225
1401,1449
NaN,NaN
1,30
646,688
449,482
617,631
130,141
593,603
402,415
189,196
330,337
216,223
567,575
812,1400
1401,1416
NaN,NaN
1,20
662,685
64,79
122,136
298,319
478,553
363,381
453,458
334,343
606,617
787,808
847,868
729,750
908,926
968,981
1028,1041
824,836
701,712
1370,1385
1222,1241
1156,1175
881,888
1406,1422
NaN,NaN
1,19
633,665
561,595
124,143
49,58
188,197
765,876
883,941
1220,1246
712,746
1275,1289
1144,1173
987,1004
1372,1381
1070,1084
NaN,NaN
1,19
629,664
563,580
40,89
207,233
459,467
391,393
533,537
180,186
495,507
701,744
762,1400
1401,1423
NaN,NaN
1,32
524,548
176,193
81,93
620,700
277,292
563,597
473,500
342,368
151,165
702,1398
1402,1891
NaN,NaN
2,37
NaN,NaN
3,38
NaN,NaN
2,33
NaN,NaN
2,33
NaN,NaN
2,44
NaN,NaN
3,44
NaN,NaN
6,45
NaN,NaN
5,46
NaN,NaN
3,62
90,200
335,399
215,323
402,571
602,701
723,799
859,966
802,824
1140,1199
1002,1104
1312,1399
1202,1240
1402,1419
NaN,NaN
13,66
102,199
202,271
299,398
402,539
573,599
602,658
733,799
877,983
802,854
1024,1062
NaN,NaN
3,71
95,199
217,336
362,399
201,206
518,599
402,475
653,760
601,626
792,798
933,999
802,893
1063,1163
1003,1033
1202,1289
1321,1399
1402,1445
NaN,NaN
2,99
102,199
202,299
302,364
402,499
502,599
636,699
702,799
802,899
902,999
1002,1099
1137,1199
1237,1299
1301,1330
1402,1428
NaN,NaN
1,499
502,999
1002,1414
NaN,NaN
2,1299
1301,1475
NaN,NaN
2,1299
1302,1411
NaN,NaN
3,73
82,299
302,599
602,899
903,1199
1202,1439
NaN,NaN
2,51
181,299
71,171
515,599
302,514
602,898
902,1198
1202,1404
NaN,NaN
2,44
55,130
139,299
302,599
602,899
902,1199
1202,1251
1251,1285
1286,1369
1376,1415
NaN,NaN
2,299
302,599
602,899
902,1199
1202,1499
1502,1528
NaN,NaN
2,46
NaN,NaN
